id,w,k,n,ll_token,u_mass,c_v,c_uci,c_npmi
-1726384694728479690,31,16,2280,-8.39158,-3.6135455007681783,0.36414547940287995,-4.087298875098411,-0.0972426528760714
5369568737471624208,38,13,2100,-8.39538,-3.2259593844211123,0.3745647042698338,-3.668654664408543,-0.08235917730729227
-936421304225158586,33,24,2030,-8.39329,-4.150895420397894,0.3595502343641172,-5.047411512815894,-0.12551718414819318
-4720016081505348141,46,18,2280,-8.3999,-3.8540039465432567,0.3679230082712557,-4.988058992649652,-0.12201232597352878
2847148254760881963,36,22,2190,-8.37551,-3.719441990391651,0.4003888592223345,-4.387242844891822,-0.09834217424728199
-3458802687130683834,47,24,2080,-8.40204,-4.063837344504651,0.37400920242882735,-5.161757340308061,-0.12693486274998406
1585948728760193123,35,17,2280,-8.37551,-3.6012761365582926,0.3857874230401536,-4.265193401771535,-0.1015114257160504
6159495546749355535,40,24,2220,-8.38361,-4.316913038925192,0.38462660353375444,-5.789372288154887,-0.15096427075575314
324760562789973044,34,9,2200,-8.40689,-2.8788220341246724,0.3354359150849724,-3.2636757445494466,-0.08137497792891578
6630746818323331177,39,21,2150,-8.38218,-3.6754457279109816,0.3761883080093642,-4.761937593560855,-0.11280542740844535
4108374256608445360,37,14,2010,-8.37248,-3.753001695012865,0.3657197554171299,-4.214915250349185,-0.09753434188017028
-8503629780196055375,43,7,2020,-8.43807,-2.433692705205815,0.3271671949627608,-2.1238447667919345,-0.04805885952890381
-1726351899267867816,31,10,2020,-8.42532,-2.768525293423635,0.3381023755297151,-2.7241466086718313,-0.05877903923789261
324779476292138111,34,24,2190,-8.37594,-4.1199771372719365,0.3791248400270693,-4.938585057071474,-0.1147789339870486
-7242450437443659987,44,12,2130,-8.41291,-3.3875314740300593,0.38146159682825803,-3.8997863287576986,-0.09036170842738124
-2987585472482280159,30,16,2120,-8.37218,-3.4906988590266392,0.35863600990628985,-4.03023173075344,-0.09323841662347232
8681879459248881249,42,22,2230,-8.38133,-3.5889218358460213,0.38162132490694023,-4.62950389371992,-0.10622203527773774
-2987579171462724882,30,21,2290,-8.35965,-4.050871498956714,0.38073223090326386,-4.912321194867297,-0.11919346796707025
324790831471342836,34,17,2240,-8.39076,-3.7203336731448142,0.36848497936048324,-4.259572784898452,-0.09809665568261287
6159511947112672212,40,5,2250,-8.38051,-2.6414765208340834,0.3147104478910318,-2.4262286761255596,-0.06136185759764214
-2197603165890385208,32,23,2100,-8.37316,-3.815575156255665,0.3925967834288349,-4.699034278696027,-0.10867053258489061
1585973957430268523,35,5,2140,-8.39388,-2.3932851954276027,0.32048794932847297,-1.8506832810739648,-0.040697447265673335
-4720026171132600881,46,10,2060,-8.40692,-2.870638366676884,0.3751571912831196,-3.4826256588380415,-0.08204724320128536
-936441485385684230,33,8,2090,-8.41408,-2.806204250947595,0.3212327995891108,-2.4116778926785467,-0.04957794997271188
4108361648333992558,37,24,2010,-8.38008,-4.186055008360441,0.38760511786093294,-5.134163219711913,-0.1250308490672691
-2668921280623356611,49,17,2020,-8.40497,-3.652332902892078,0.35362471754410324,-4.52054061466477,-0.10931495240911243
7420717769323594057,41,15,2170,-8.41162,-3.3935609752057987,0.37408393147818114,-4.1389690210392605,-0.09789347939318586
-2197604427192238441,32,22,2270,-8.38509,-4.06809794308331,0.3721848288994092,-4.920560715785361,-0.1187425539629892
6159516986979500528,40,9,2170,-8.4125,-2.978350156730877,0.36042951437489074,-3.016899704132447,-0.06949980146978837
-2668913709228546489,49,11,2140,-8.40235,-3.298703224068636,0.3597863891301196,-4.026312753752396,-0.09853011805455826
-2987561512407264732,30,7,2010,-8.41461,-2.7875930042935013,0.35873015968039973,-2.4945964892235506,-0.06012489590639488
-1726385951463340843,31,17,2230,-8.38711,-3.440399063349395,0.38568164083812545,-3.991760879059088,-0.08730978827554509
5369567471462973015,38,12,2070,-8.37711,-3.3435766418454893,0.365017951648499,-3.667581588591768,-0.07885871707040648
-2197642263055601171,32,8,2050,-8.41633,-2.7251018437940857,0.3441127890355981,-2.6083454169457254,-0.05795851216573687
-4720019865210519412,46,15,2250,-8.38331,-3.6391411827415756,0.3759702106678832,-4.730113699367158,-0.12193077804460031
-2197634695976132545,32,14,2270,-8.36782,-3.627344967825631,0.3682530422237532,-3.7724119537964595,-0.08688032521239498
-8503657530635662157,43,17,2080,-8.40193,-3.8490402052045245,0.3829707873199462,-4.795271346422826,-0.11591924555746634
-7242456748296228824,44,23,2080,-8.41661,-3.858833197847577,0.381813074520173,-4.973986272238993,-0.11927869154869786
-3458829172309600881,47,13,2060,-8.40605,-3.493751479148517,0.35120795714044145,-4.284351017829207,-0.1065784423182413
2847182304512082188,36,9,2010,-8.43913,-2.9057073397477717,0.332298123151152,-2.952022747255668,-0.07353197882486201
5369551080923349506,38,19,2280,-8.40099,-3.547613303217764,0.38041742905334613,-4.354575154680219,-0.10266945487421998
-7242452964891640195,44,18,2240,-8.4039,-3.5614387732244817,0.39492304170790965,-4.646961261459818,-0.11124596063809007
8681879459493541539,42,22,2120,-8.3994,-3.7234211103971173,0.36839809301162185,-4.82944591109663,-0.11370257900602271
-1726387217320535666,31,22,2070,-8.36306,-4.240712092635638,0.3865725991365755,-4.858289269556592,-0.11401400111556369
8681887021814950049,42,16,2060,-8.39687,-3.765725280961523,0.36030871641323803,-4.674115853893445,-0.11197977393444358
-3458810259273455414,47,18,2190,-8.38584,-3.7035270969095015,0.3663174506890683,-4.866542229163272,-0.11963051806232679
324779476215244877,34,24,2120,-8.36837,-4.0028437156153,0.3892923203775955,-4.878157621806472,-0.11860771662297968
-4720024909893660294,46,11,2080,-8.40192,-3.315566766318163,0.34859616727111953,-3.8482330037031787,-0.0967199682491374
2847179782882356686,36,15,2030,-8.36315,-3.533670824577669,0.35431504536042807,-4.196619482518608,-0.10060629633738853
6630769519759795385,39,7,2120,-8.44516,-2.449695459137121,0.33153746375682447,-2.1298322476087335,-0.04731241353516121
7420690027752340263,41,21,2070,-8.41121,-4.184840530164173,0.35891564888294725,-5.320877595035495,-0.133881727611814
-3458839261866950681,47,5,2060,-8.41741,-2.54186052030959,0.36304133498637486,-2.32348035809792,-0.0625264327355621
6630746815785854455,39,21,2020,-8.40199,-4.131210695351907,0.36607324944865344,-5.032855525010284,-0.12251550587760052
7420712728214823507,41,11,2000,-8.38793,-3.2597987690309953,0.35424104330080114,-3.562411117282609,-0.08172307593064038
1585960084221339706,35,24,2080,-8.37473,-4.141542720509583,0.3748089744221148,-5.074006900600435,-0.12221713700536418
-4720016081656804511,46,18,2150,-8.38859,-3.7783519011785702,0.3689306282444409,-4.7289393142662455,-0.11368565006248
4108362905481281057,37,7,2150,-8.44476,-2.7158624569389382,0.332438801560493,-2.355795933143861,-0.05859435214273558
6630760691676726070,39,14,2270,-8.39209,-3.138847545028588,0.36846322150295135,-3.6633781906648535,-0.0854008758817338
1585982782691589160,35,10,2000,-8.43624,-3.1126368230440966,0.34214710055606645,-3.4671253046064443,-0.08563152147436878
1585949989640298618,35,16,2280,-8.36789,-3.819114597118926,0.36847163877513184,-4.4129636765645515,-0.10532075125352852
8681917290747970425,42,8,2220,-8.45354,-2.3626707452984177,0.3716599475775493,-2.4128728184618686,-0.05696694605996906
-2668904880616544928,49,12,2180,-8.38992,-3.40342085445451,0.3653947724506555,-3.8886260269160484,-0.09122591516048179
-1726384694763431160,31,16,2190,-8.36965,-3.5764395105425706,0.36140198404361845,-4.239169100488659,-0.10215107252425637
-8503657530735856371,43,17,2170,-8.39339,-3.536140941337737,0.39136966438388204,-4.505309746336806,-0.10725574945085355
-3930130887003139229,48,24,2280,-8.39405,-4.196268956123984,0.39801474252500973,-5.5024330517089695,-0.13489190779105792
-5981253443530176473,45,15,2140,-8.39753,-3.524514997700764,0.38048841218790624,-4.26880621094138,-0.099018232692658
4108376783222250484,37,12,2180,-8.36945,-3.235685538543948,0.3708682492268516,-3.7153050011187125,-0.0863929586743158
7420713985653374256,41,10,2170,-8.46237,-2.8069416891607815,0.35162456707844625,-3.172600581705848,-0.07740595467221134
1585960084095514414,35,24,2140,-8.37584,-4.024558585928587,0.39231012470358784,-4.971369439790664,-0.12142654879946013
-2197642262904144801,32,8,2180,-8.43072,-2.6877833207544066,0.32300849916997676,-2.499788195290682,-0.055599991332948406
-5981245871543521459,45,9,2280,-8.4406,-3.3182488136043706,0.3230430468964769,-3.7381046520895165,-0.09805313537706857
4108364171322165194,37,6,2120,-8.40354,-2.410232488871289,0.3458052989148644,-2.1107333568196096,-0.048192004880427075
6630759430346911661,39,15,2220,-8.37965,-3.7675019465881046,0.376349230643025,-4.275476538187042,-0.09728474365280003
-936437701808668349,33,13,2290,-8.3583,-3.544750052607133,0.36096540720050646,-3.886290579640722,-0.08894721040579873
6159494290137989576,40,23,2060,-8.42079,-4.194562048765158,0.3536189246932522,-5.187612545298344,-0.13109248655851163
-8503649958558133321,43,23,2190,-8.41182,-4.040969276538896,0.3652151533949935,-5.095577433297152,-0.12652342844390493
-2668913709347381487,49,11,2230,-8.39396,-3.089539238699045,0.37338686215981726,-3.867773288757537,-0.09620060950247201
-3458829172183775589,47,13,2200,-8.40633,-3.316564533978805,0.354158245903423,-3.9864419958748836,-0.09746460277159572
-5981263528399369097,45,23,2180,-8.39563,-4.122955066901207,0.35564286538000983,-5.098985005295678,-0.12959855257062067
6159516986842024746,40,9,2240,-8.41112,-3.286248386937284,0.3621543541748891,-3.572014449090778,-0.08918157982247106
4108350293357506359,37,17,2150,-8.38809,-3.705826400134704,0.36595831535689516,-4.330304626724911,-0.10256721818252375
-7242452964644649807,44,18,2100,-8.40057,-3.6474645126281584,0.3933544150148341,-4.70207735822556,-0.11033366106897348
-3930120802096665037,48,16,2240,-8.38837,-3.768679204591127,0.3554474264052312,-4.610365205142395,-0.114715799566152
-7242442870492346751,44,10,2300,-8.44089,-3.048035151263276,0.3710028810767185,-3.3710329821418896,-0.07698269518818779
-2987550158870779097,30,12,2190,-8.38334,-3.587749587313039,0.36610641202829886,-4.007255380250937,-0.09345068013471586
8681888287241076742,42,17,2010,-8.39817,-3.566026272740937,0.3736240599941648,-4.267026254676322,-0.0985016614309463
-3930106929137056706,48,11,2070,-8.42963,-3.1208251447543844,0.3554479450605887,-3.5648403049540462,-0.08593693291745737
-4720026171218814507,46,10,2130,-8.41031,-3.1300404161376685,0.3615546918846605,-3.6037997168092195,-0.08581312258483759
6159524558968485640,40,15,2260,-8.3895,-3.1932476238072725,0.3772198431734288,-3.9162646352004513,-0.09111762994509778
4108361644496321152,37,24,2300,-8.39935,-3.969300490254477,0.3823932903996117,-5.023247822015939,-0.12046834035022429
-2197634695964482055,32,14,2260,-8.36392,-3.5173111677365485,0.37989781530175826,-3.761885505615406,-0.08712034267423333
7420715251946297405,41,9,2260,-8.4664,-2.9653458708517446,0.34250164400304545,-2.848968732323936,-0.06881113671261026
-7242456748279918138,44,23,2070,-8.41524,-3.8586268225420177,0.3824297965108189,-4.880829259897558,-0.11634272202593154
-2987561514581246166,30,7,2060,-8.4116,-2.720716069704239,0.3811505340263623,-2.4090680707771432,-0.05195506223318595
-1726385951405088393,31,17,2240,-8.38845,-3.69230131631429,0.3875699583836998,-4.278948038681056,-0.09608503193794017
-2197642267289389237,32,8,2000,-8.43082,-2.693442966816346,0.34276522770285195,-2.596626921081497,-0.06015348958044661
-5981245871501579695,45,9,2060,-8.4485,-3.157571543048835,0.3305415850824061,-3.721314606359087,-0.09888888405213103
5369567471428021545,38,12,2100,-8.38025,-3.369898878519893,0.34468562491049526,-3.6669401918949567,-0.08230240851861848
-4720019865231490294,46,15,2260,-8.3833,-3.477351867113385,0.36758243577131283,-4.476385581103537,-0.10961613331564914
4108364171457310878,37,6,2100,-8.38562,-2.4420109167747155,0.3422668906515553,-2.08057537704294,-0.049135610807186335
-7242454225704172848,44,17,2190,-8.38387,-3.791916530099248,0.3812033438932312,-4.714481140661794,-0.11802289409375193
7420717769279322195,41,15,2140,-8.40486,-3.4129612505196034,0.3619089655011229,-4.204364564259068,-0.1033808914103144
-2197604427227189911,32,22,2300,-8.37099,-3.878756716513838,0.36448364324675014,-4.733367113979795,-0.11452920618348665
1585973957399977249,35,5,2170,-8.38237,-2.2675373693165173,0.2981205626797233,-1.709811134033039,-0.04056355290765987
-936441485322771584,33,8,2160,-8.39486,-2.748011930466398,0.322424362148905,-2.5567919682456983,-0.054667991468531914
-2668921276333646193,49,17,2050,-8.42046,-3.8653686793002606,0.3543133400734786,-4.942036622831215,-0.12405260718877224
-3930108185671529431,48,10,2160,-8.40406,-2.9653070225612774,0.3571308491590369,-3.4873294168739,-0.08192628816288675
-2987579171469715176,30,21,2300,-8.35706,-3.947758458109838,0.37653525841087726,-4.760730877139475,-0.11387873205674874
324790831608818618,34,17,2230,-8.37872,-3.6842485551803508,0.37715820377526726,-4.047421150414967,-0.09132759320334738
-2197603165948637658,32,23,2050,-8.37066,-3.784357714006771,0.3878065026670223,-4.640977075498674,-0.1048731213454791
-4720027434655037508,46,5,2000,-8.41915,-2.3177393256465946,0.3596311395289382,-2.1444976493943697,-0.05413769258381486
6159511947147623682,40,5,2260,-8.3886,-2.399960524963289,0.3283388860506928,-2.129010715404033,-0.0506755178128601
5369558643762039772,38,21,2040,-8.37628,-3.7562492858817196,0.3802474755793502,-4.545145344683044,-0.10514254996096939
-3458811515747345591,47,19,2260,-8.40122,-3.68353048617126,0.38999730074474653,-4.774593715441275,-0.11656725344861225
324779476238545857,34,24,2140,-8.3729,-4.104888588465525,0.3787590974018598,-4.766845969775916,-0.11306748174565133
2847179779671481642,36,15,2210,-8.36855,-3.4675274995282295,0.3685204062053875,-3.9489501426822757,-0.08864346418355369
-2987585472465969473,30,16,2170,-8.37038,-3.585571588641414,0.36127879796965295,-4.133441727454445,-0.0959980809322496
324760562843565298,34,9,2230,-8.40766,-3.025802170313117,0.3336745405554324,-3.228020049866361,-0.07707601214841459
7420688766473788010,41,22,2140,-8.38204,-3.799406906711876,0.3732933216415713,-5.178073166616415,-0.1312094576137265
-8503629779569259013,43,7,2050,-8.441,-2.429409582155377,0.34736834038488673,-2.414144688611526,-0.058688658376373326
-2668897318299796614,49,6,2100,-8.44931,-2.189706557338235,0.32181676109093155,-1.9738955611198892,-0.0492808824016222
-1726355682616534093,31,9,2300,-8.43355,-2.737949981926211,0.36642106144636316,-2.719580776158459,-0.05882525810044941
-1726384694796052532,31,16,2210,-8.3844,-3.64623645840857,0.3566262039267055,-4.197306612627773,-0.1008054604041647
5369568737413371758,38,13,2050,-8.3826,-3.116731729867708,0.37111036085039256,-3.4859521047179785,-0.07734298812552895
2847148254772532453,36,22,2180,-8.38565,-3.618787684609764,0.3895790192096301,-4.245744541498168,-0.09185925602249302
-936421301440691476,33,24,2100,-8.38949,-4.056103401565042,0.3759903776684075,-5.107157193658586,-0.12810342878685607
-3458802687170295500,47,24,2050,-8.39456,-4.18205783025173,0.3794800259181716,-5.410878561213562,-0.13637932402149797
-7242441612906999828,44,11,2000,-8.38807,-3.458556549916804,0.3610897768275216,-4.151382780368286,-0.10175742235671273
8681888287783989576,42,17,2060,-8.3922,-3.5100290951400788,0.3654403696067187,-4.009596046520563,-0.08904771826509937
-2987550158877769391,30,12,2180,-8.38124,-3.6384856428001324,0.3599602129996054,-4.076352654356717,-0.09728000084729325
-3930106929088124648,48,11,2120,-8.4411,-3.0881440620315432,0.33859665545258744,-3.506770386127722,-0.08432127930213654
-4720026171165222253,46,10,2080,-8.40535,-3.2431960242544897,0.35468722574916556,-3.776048016528923,-0.09035900521704829
-936442741971419111,33,9,2160,-8.42518,-2.7307251117143565,0.3424048125012276,-2.486542511531245,-0.055755360563561736
6159524558956835150,40,15,2250,-8.39261,-3.516256455817005,0.3784301764311915,-4.144678234704687,-0.09806571901559531
4108361644414767722,37,24,2230,-8.37605,-4.052035316887451,0.38107805092642905,-4.890547960661441,-0.11605169190399749
324788304542974482,34,19,2060,-8.38411,-3.7545188653186354,0.3560209341085258,-4.612472654526128,-0.11033284029788074
-3458829172260668823,47,13,2150,-8.38806,-3.647616510428362,0.34247685245862314,-4.418661842548838,-0.10954979928263442
-5981263528317815667,45,23,2170,-8.40596,-4.125835359430526,0.3629056074972867,-5.035526783845353,-0.12666353479435194
6159516986769791708,40,9,2190,-8.41318,-3.047883692573056,0.3596588799601165,-3.1298391591106673,-0.07423669549046247
4108350293383137437,37,17,2120,-8.37983,-3.779961137175306,0.36548888306497185,-4.39286785527698,-0.10443833651847645
-7242452964702902257,44,18,2150,-8.37933,-3.5654595397711364,0.38471139127254905,-4.823541220750996,-0.11680787018301635
-3930120802103655331,48,16,2250,-8.39797,-3.6371719679951187,0.36406494444920046,-4.347838164614469,-0.10298942413777268
-5981247134436831626,45,10,2040,-8.4002,-3.4269653604712813,0.3207071511462195,-4.028795805180831,-0.10099825243144793
2847160863384849465,36,24,2010,-8.37725,-4.40236576701151,0.38834816499320796,-5.152888482719337,-0.12464747726320746
