0,597,574,569,477,447,591,466,599,549,448
1,384,848,842,838,36,820,840,827,832,831
2,159,175,155,145,167,142,161,158,131,144
3,415,410,418,431,456,434,426,432,627,457
4,106,109,107,74,115,100,60,114,737,69
5,512,511,538,527,516,542,539,489,495,515
6,312,309,308,324,305,311,744,746,323,332
7,85,232,228,83,231,202,53,180,209,82
8,275,273,279,284,282,44,276,40,277,285
9,631,289,628,626,636,640,633,616,634,742
10,343,205,361,579,206,214,258,252,264,191
11,678,696,707,687,708,659,688,441,681,660
12,670,672,802,797,806,794,665,663,667,674
