0,521,535,539,193,527,519,499,516,508,542
1,275,271,195,278,276,279,282,285,273,284
2,160,617,155,159,367,127,175,262,131,158
3,415,445,416,431,462,433,410,457,439,454
4,842,826,833,838,835,848,820,36,815,40
5,708,678,441,696,681,687,490,688,659,686
6,106,100,109,70,115,69,74,107,73,103
7,631,626,628,638,633,636,649,640,650,305
8,343,730,205,580,579,581,252,206,258,174
9,231,238,228,85,53,246,88,209,81,364
10,308,312,309,324,299,311,226,332,746,315
11,669,806,798,802,675,670,677,794,667,801
12,447,551,791,610,402,260,569,381,549,548
