0,mythe,mal,homme,chute,humain,origine,qu’,création,type,adamique
1,symbole,mythe,qu’,langage,philosophie,penser,expérience,falloir,comprendre,symbolique
2,Dieu,peuple,histoire,Israël,prophète,Jahvé,historique,jour,exigence,Yahvé
3,dieu,roi,drame,homme,babylonien,puissance,qu’,Mardouk,ennemi,création
4,souffrance,craindre,punition,Job,ordre,souillure,mal,rétribution,monde,impur
5,tragique,dieu,tragédie,divin,grec,Prométhée,héros,vision,théologie,liberté
6,pharisien,Tôrâ,scrupuleux,scrupule,Judaïsme,instruction,Loi,révélation,mérite,écrit
7,souillure,symbole,symbolisme,péché,symbolique,impur,expiation,rite,représentation,rituel
8,grec,cité,culture,pénal,faute,mémoire,involontaire,source,souillure,crime
9,homme,figure,Paul,saint,adam,fils,pardon,serviteur,image,eschatologique
10,péché,qu’,homme,conscience,Dieu,loi,culpabilité,faute,falloir,éthique
11,mythe,orphique,titan,Platon,qu’,Dionysos,orphisme,dieu,siècle,origine
12,âme,corps,vie,mort,désir,mauvais,chair,Platon,qu’,existence
